,comment,date
0,"199 cm is like 6'6"" btw for the Americans who don't use the metric system. Yea he's TALL","Mar 5, 2017"
1,"My God when I got a notification saying #relationshipgoals from webtoons, I thought they we're trying to tell me I'm single af like excuse you until I realized it was for a new comic ","Mar 5, 2017"
2,CONGRATULATIONS ON GETTING FEATURED!!! I remember loving this comic in discover ❤️,"Mar 5, 2017"
3,im excited to see were this goes,25 mins ago
4,funny,1 hours ago
5,i been around tall pepole my whole life! there is 3 pepole that are not tall in my family one of em is me,2 days ago
6,Your boyfriends a centimeters shorter than my math teacher,4 days ago
7,this book is weird so much,4 days ago
8,"I'm 5'1.. how does it feel, to be TALLL!?",4 days ago
9,and here a legend was born,6 days ago
10,Tall dudes are the shit🙈💯❤️,"Oct 21, 2020"
11,Oh I never see that story before ,"Oct 19, 2020"
12,Why i saw myself and my ex here omg,"Oct 19, 2020"
13,Türkçe Türkçe Türkçe,"Oct 19, 2020"
14,158cm - 5’2.2 ft  ~ 199cm- 6’6 ft Yeah he’s tall,"Oct 18, 2020"
15,yea here too a woman can be 158cm but still look okay,"Oct 17, 2020"
16,What is standar high for male in western??,"Oct 15, 2020"
17,the start of a legend,"Oct 15, 2020"
18,"199 cm is like 6'6"" btw for the Americans who don't use the metric system. Yea he's TALL","Mar 5, 2017"
19,"My God when I got a notification saying #relationshipgoals from webtoons, I thought they we're trying to tell me I'm single af like excuse you until I realized it was for a new comic ","Mar 5, 2017"
20,CONGRATULATIONS ON GETTING FEATURED!!! I remember loving this comic in discover ❤️,"Mar 5, 2017"
21,im excited to see were this goes,25 mins ago
22,funny,1 hours ago
23,i been around tall pepole my whole life! there is 3 pepole that are not tall in my family one of em is me,2 days ago
24,Your boyfriends a centimeters shorter than my math teacher,4 days ago
25,this book is weird so much,4 days ago
26,"I'm 5'1.. how does it feel, to be TALLL!?",4 days ago
27,and here a legend was born,6 days ago
28,Tall dudes are the shit🙈💯❤️,"Oct 21, 2020"
29,Oh I never see that story before ,"Oct 19, 2020"
30,Why i saw myself and my ex here omg,"Oct 19, 2020"
31,Türkçe Türkçe Türkçe,"Oct 19, 2020"
32,158cm - 5’2.2 ft  ~ 199cm- 6’6 ft Yeah he’s tall,"Oct 18, 2020"
33,yea here too a woman can be 158cm but still look okay,"Oct 17, 2020"
34,What is standar high for male in western??,"Oct 15, 2020"
35,the start of a legend,"Oct 15, 2020"
36,I've watched to many YouTube American videos I know how to read American. I have became a spy,"Oct 13, 2020"
37,I'm rereading this whole series again!,"Oct 12, 2020"
38,the same height i have like her's,"Oct 11, 2020"
39,well... then I'm not short at all for an asian girl 😂,"Oct 2, 2020"
40,No...I am not short...you are tall🤣,"Oct 1, 2020"
41,Coming back after the 500 chapters 😭❤️HAPPY 500😭😭😭😭😭❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️it’s been a long journey it feels like it was yesterday I hope it never ends😍😍😍❤️❤️❤️❤️❤️,"Sep 29, 2020"
42,happy 500,"Sep 29, 2020"
43,DAMN BOI HE THICCCQUE,"Sep 27, 2020"
44,"it's funny cuz, I was just watching some recommendations and THIS appears, I'm already 1,58 and my boyfriend 1,92, what kind of indirect is this? subscribing xd","Sep 27, 2020"
45,I can't stop thinking about this webtoon.They have the same inconveniences that I have with my girlfriend.,"Sep 25, 2020"
46,"I have a girlfriend who is Doctor, and she has 152 cm (4'9"")She is little by the general height in my country Venezuela.I'm actually not very tall, I have 183 cm (6').","Sep 25, 2020"
47,i feel like m talll too😂😂having 158.5cms😂😂😂 here in NE and as a tribal girl 😂😂 but when I go outside I still cry for height🤭...I love heights🤧,"Sep 25, 2020"
48,wow the development as an artist by her damn,"Sep 22, 2020"
49,"your short your 5,2","Sep 21, 2020"
50,my dad is 6'3 and my mom is shorter than me and im ten,"Sep 18, 2020"
51,"Meanwhile my brother's friend is 7,1 😂","Sep 18, 2020"
52,When you realize you are 3 years late ;-;,"Sep 18, 2020"
53,LoL me:to everyone I know 😂,"Sep 17, 2020"
54,"tinggi banget 199 cm, gua cewek tinggi 165 cm, berarti lumayan","Sep 14, 2020"
55,Why do they kinda well accurately remind me of Sniperwolff and her boyfriend?,"Sep 13, 2020"
56,omg adorable,"Sep 12, 2020"
57,TEEHEE 😌,"Sep 9, 2020"
58,wow,"Sep 8, 2020"
59,I just came across this.,"Sep 7, 2020"
60,gufrankhan7992189680,"Sep 7, 2020"
61,Hey I didn't know Markiplier was in a Webtoon,"Sep 5, 2020"
62,Me rereading this comic like : *insert surprised Pikachu face at art style*,"Sep 3, 2020"
63,I love slice of life so much xDThey're really relatable,"Sep 1, 2020"
64,"my boyfriend's like 5'3, i could neverbut im still somehow shorter than him","Aug 31, 2020"
65,Omg yet what’s good ,"Aug 30, 2020"
66,"hey fishball, this is my 3rd time reading all your comics today was a really rough day I had a lot of unfinished work and I was stressed out my parents were stressing me out. ty for making my day/night.😊","Aug 28, 2020"
67,damnn 199.even im only 186.youd hit the top of my door lol,"Aug 28, 2020"
68,199 cm is almost 2 metres omg ,"Aug 28, 2020"
69,ANGELICA ELIZA AND PEGGY,"Aug 26, 2020"
70,-,-
71,Wow the art style,"Aug 21, 2020"
72,Bruh rereading this made me realize Fishball and I are the same height😂😂,"Aug 21, 2020"
73,When ur re-reading the entire comic first the 4th time in quarantine  👁👄👁,"Aug 20, 2020"
74,I am 5 but by Asian standard I am not very short ,"Aug 20, 2020"
75,I am 4'9 😂 lol I am too short,"Aug 20, 2020"
76,My boyfriend is also tall so I can definitely relate to this story .,"Aug 19, 2020"
77,I love it even by now!    ❤,"Aug 18, 2020"
78,Me and my boyfriend act just like Fish ball and her boyfriend ❣️✨ Wait a darn minute! I'm single luv ♥️,"Aug 18, 2020"
79,Third time I’m reading through this all again ,"Aug 15, 2020"
80,I am 193 cm always known as 6ft 4 so I feel like 6ft 6 isn't really that tall,"Aug 14, 2020"
81,I’m 1.78 and I’m still single :>,"Aug 13, 2020"
82,what do you think if 150cmfor girl. short or tall?,"Aug 12, 2020"
83,The only system we Americans use is items like OH MY GAH THIS BUILDING IS LIKE TO FOOTBALL STADIUM,"Aug 12, 2020"
